Data Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,,,,,Grade 4,,,,,,,Grade 5,,,,,,,Grade 6,,,,,,,Grade 7,,,,,,,Grade 8,,,,,,,Corporation Total,,,,,,,
3305,Brownsburg Community School Corp,89,102,198,317,515,706,72.9%,95,146,202,379,581,822,70.7%,118,126,278,267,545,789,69.1%,107,128,245,305,550,785,70.1%,91,166,283,293,576,833,69.1%,113,156,228,298,526,795,66.2%,613,824,1434,1859,3293,4730,69.6%,
3315,Avon Community School Corp,248,139,184,193,377,764,49.3%,185,168,214,241,455,808,56.3%,240,162,224,115,339,741,45.7%,229,195,220,176,396,820,48.3%,162,239,255,219,474,875,54.2%,139,164,234,293,527,830,63.5%,1203,1067,1331,1237,2568,4838,53.1%,
3325,Danville Community School Corp,54,61,54,47,101,216,46.8%,42,44,55,56,111,197,56.3%,56,64,67,27,94,214,43.9%,48,52,56,31,87,187,46.5%,38,62,75,50,125,225,55.6%,44,60,58,40,98,202,48.5%,282,343,365,251,616,1241,49.6%,
3330,Plainfield Community School Corp,121,90,114,81,195,406,48.0%,104,72,120,99,219,395,55.4%,145,87,120,86,206,438,47.0%,86,74,121,180,301,461,65.3%,71,80,140,152,292,443,65.9%,117,102,110,127,237,456,52.0%,644,505,725,725,1450,2599,55.8%,
3335,Mill Creek Community Sch Corp,39,21,29,14,43,103,41.7%,30,26,30,15,45,101,44.6%,21,25,36,16,52,98,53.1%,32,31,35,19,54,117,46.2%,16,24,42,27,69,109,63.3%,22,41,24,25,49,112,43.8%,160,168,196,116,312,640,48.8%,
3405,Blue River Valley Schools,17,13,8,1,9,39,23.1%,11,11,10,9,19,41,46.3%,12,10,10,1,11,33,33.3%,20,6,7,2,9,35,25.7%,14,15,9,3,12,41,29.3%,18,12,10,4,14,44,31.8%,92,67,54,20,74,233,31.8%,
3415,South Henry School Corp,23,13,9,4,13,49,26.5%,25,12,16,4,20,57,35.1%,28,18,11,4,15,61,24.6%,36,15,15,8,23,74,31.1%,24,17,12,7,19,60,31.7%,18,19,15,8,23,60,38.3%,154,94,78,35,113,361,31.3%,
3435,Shenandoah School Corporation,35,21,30,4,34,90,37.8%,18,25,27,24,51,94,54.3%,27,26,41,10,51,104,49.0%,33,25,23,21,44,102,43.1%,36,24,20,13,33,93,35.5%,19,34,29,19,48,101,47.5%,168,155,170,91,261,584,44.7%,
3445,New Castle Community School Corp,94,52,44,21,65,211,30.8%,93,47,39,26,65,205,31.7%,69,52,55,28,83,204,40.7%,105,33,31,21,52,190,27.4%,96,57,33,17,50,203,24.6%,123,38,41,13,54,215,25.1%,580,279,243,126,369,1228,30.0%,
3455,C A Beard Memorial School Corp,29,23,25,8,33,85,38.8%,19,35,23,11,34,88,38.6%,32,18,15,6,21,71,29.6%,26,18,14,7,21,65,32.3%,13,25,19,10,29,67,43.3%,18,28,20,14,34,80,42.5%,137,147,116,56,172,456,37.7%,
3460,Taylor Community School Corp,38,18,15,0,15,71,21.1%,39,24,15,1,16,79,20.3%,51,18,17,5,22,91,24.2%,52,19,10,7,17,88,19.3%,43,20,21,9,30,93,32.3%,32,27,14,8,22,81,27.2%,255,126,92,30,122,503,24.3%,
3470,Northwestern School Corp,49,36,27,12,39,124,31.5%,28,38,38,31,69,135,51.1%,33,32,48,17,65,130,50.0%,35,41,51,35,86,162,53.1%,36,56,50,18,68,160,42.5%,24,42,43,21,64,130,49.2%,205,245,257,134,391,841,46.5%,
3480,Eastern Howard School Corporation,41,33,36,8,44,118,37.3%,30,38,28,20,48,116,41.4%,43,40,35,5,40,123,32.5%,38,28,31,25,56,122,45.9%,30,45,43,9,52,127,40.9%,27,36,32,27,59,122,48.4%,209,220,205,94,299,728,41.1%,
3490,Western School Corporation,58,52,41,36,77,187,41.2%,61,50,54,28,82,193,42.5%,54,47,57,35,92,193,47.7%,48,51,54,42,96,195,49.2%,45,33,48,56,104,182,57.1%,38,57,52,45,97,192,50.5%,304,290,306,242,548,1142,48.0%,
3500,Kokomo School Corporation,202,92,62,23,85,379,22.4%,164,72,71,29,100,336,29.8%,172,82,79,28,107,361,29.6%,192,81,54,14,68,341,19.9%,163,83,56,24,80,326,24.5%,154,71,60,44,104,329,31.6%,1047,481,382,162,544,2072,26.3%,
3625,Huntington Co Com Sch Corp,144,90,86,43,129,363,35.5%,136,102,81,56,137,375,36.5%,134,94,96,28,124,352,35.2%,148,100,93,41,134,382,35.1%,112,115,90,43,133,360,36.9%,103,113,80,58,138,354,39.0%,777,614,526,269,795,2186,36.4%,
3640,Medora Community School Corp,***,***,***,***,***,7,***,8,2,3,1,4,14,28.6%,6,1,3,3,6,13,46.2%,***,***,***,***,***,8,***,***,***,***,***,***,8,***,5,6,0,0,0,11,0.0%,25,16,15,5,20,61,32.8%,
3675,Seymour Community Schools,255,66,61,33,94,415,22.7%,253,67,71,47,118,438,26.9%,262,71,67,33,100,433,23.1%,182,82,81,41,122,386,31.6%,195,75,77,49,126,396,31.8%,192,68,63,53,116,376,30.9%,1339,429,420,256,676,2444,27.7%,
3695,Brownstown Cnt Com Sch Corp,29,27,19,12,31,87,35.6%,59,22,11,12,23,104,22.1%,40,22,23,15,38,100,38.0%,33,26,33,6,39,98,39.8%,32,26,22,15,37,95,38.9%,30,30,25,17,42,102,41.2%,223,153,133,77,210,586,35.8%,
3710,Crothersville Community Schools,25,8,6,2,8,41,19.5%,19,6,2,1,3,28,10.7%,18,11,13,1,14,43,32.6%,15,3,6,3,9,27,33.3%,18,9,7,0,7,34,20.6%,10,13,4,1,5,28,17.9%,105,50,38,8,46,201,22.9%,
3785,Kankakee Valley School Corp,63,51,63,57,120,234,51.3%,61,49,72,52,124,234,53.0%,67,54,70,37,107,228,46.9%,76,54,70,39,109,239,45.6%,58,83,72,37,109,250,43.6%,47,86,62,39,101,234,43.2%,372,377,409,261,670,1419,47.2%,
3815,Rensselaer Central School Corp,31,27,26,22,48,106,45.3%,29,20,26,21,47,96,49.0%,31,16,36,26,62,109,56.9%,32,27,35,24,59,118,50.0%,22,27,47,20,67,116,57.8%,36,20,16,13,29,85,34.1%,181,137,186,126,312,630,49.5%,
3945,Jay School Corporation,86,48,66,46,112,246,45.5%,65,46,57,43,100,211,47.4%,80,57,72,19,91,228,39.9%,74,56,53,22,75,205,36.6%,97,67,49,27,76,240,31.7%,65,52,49,39,88,205,42.9%,467,326,346,196,542,1335,40.6%,
3995,Madison Consolidated Schools,77,37,36,17,53,167,31.7%,76,40,41,32,73,189,38.6%,51,39,43,20,63,153,41.2%,40,44,47,42,89,173,51.4%,33,55,54,25,79,167,47.3%,34,39,53,63,116,189,61.4%,311,254,274,199,473,1038,45.6%,
4000,Southwestern-Jefferson Co Con,28,17,30,16,46,91,50.5%,25,18,18,13,31,74,41.9%,22,17,30,11,41,80,51.3%,46,25,33,11,44,115,38.3%,34,21,26,7,33,88,37.5%,41,25,16,5,21,87,24.1%,196,123,153,63,216,535,40.4%,
4015,Jennings County School Corporation,107,62,50,33,83,252,32.9%,127,101,61,29,90,318,28.3%,109,73,70,27,97,279,34.8%,90,73,71,44,115,278,41.4%,99,84,75,38,113,296,38.2%,120,89,61,43,104,313,33.2%,652,482,388,214,602,1736,34.7%,
4145,Clark-Pleasant Community Sch Corp,169,112,142,93,235,516,45.5%,152,114,130,124,254,520,48.8%,151,115,190,91,281,547,51.4%,160,109,149,118,267,536,49.8%,135,128,151,138,289,552,52.4%,133,128,154,117,271,532,50.9%,900,706,916,681,1597,3203,49.9%,
4205,Center Grove Community School Corp,162,154,212,170,382,698,54.7%,153,136,204,262,466,755,61.7%,160,149,226,187,413,722,57.2%,154,135,248,234,482,771,62.5%,160,197,253,198,451,808,55.8%,152,156,209,223,432,740,58.4%,941,927,1352,1274,2626,4494,58.4%,
4215,Edinburgh Community School Corp,35,6,11,8,19,60,31.7%,35,10,13,1,14,59,23.7%,50,10,4,2,6,66,9.1%,23,15,13,6,19,57,33.3%,20,19,9,2,11,50,22.0%,29,20,13,5,18,67,26.9%,192,80,63,24,87,359,24.2%,
4225,Franklin Community School Corp,136,95,88,46,134,365,36.7%,122,73,95,66,161,356,45.2%,119,81,115,45,160,360,44.4%,104,74,116,63,179,357,50.1%,101,93,95,80,175,369,47.4%,102,95,81,80,161,358,45.0%,684,511,590,380,970,2165,44.8%,
4245,Greenwood Community Sch Corp,97,61,74,45,119,277,43.0%,106,84,80,67,147,337,43.6%,93,78,80,62,142,313,45.4%,96,79,88,67,155,330,47.0%,63,97,93,64,157,317,49.5%,64,79,82,83,165,308,53.6%,519,478,497,388,885,1882,47.0%,
4255,Nineveh-Hensley-Jackson United,55,39,41,17,58,152,38.2%,44,41,41,33,74,159,46.5%,45,39,42,23,65,149,43.6%,53,48,45,16,61,162,37.7%,53,46,34,18,52,151,34.4%,40,65,44,19,63,168,37.5%,290,278,247,126,373,941,39.6%,
4315,North Knox School Corp,37,19,22,10,32,88,36.4%,38,22,20,16,36,96,37.5%,43,15,25,11,36,94,38.3%,32,26,25,15,40,98,40.8%,31,33,40,17,57,121,47.1%,26,23,18,12,30,79,38.0%,207,138,150,81,231,576,40.1%,
4325,South Knox School Corp,36,26,21,14,35,97,36.1%,34,24,24,24,48,106,45.3%,27,25,24,11,35,87,40.2%,32,25,28,8,36,93,38.7%,41,26,20,11,31,98,31.6%,37,20,15,17,32,89,36.0%,207,146,132,85,217,570,38.1%,
4335,Vincennes Community School Corp,75,57,46,19,65,197,33.0%,91,49,44,27,71,211,33.6%,69,61,65,14,79,209,37.8%,103,42,44,14,58,203,28.6%,100,59,35,21,56,215,26.0%,81,52,33,23,56,189,29.6%,519,320,267,118,385,1224,31.5%,
4345,Wawasee Community School Corp,62,41,51,32,83,186,44.6%,66,42,36,49,85,193,44.0%,81,43,52,19,71,195,36.4%,91,52,47,19,66,209,31.6%,79,53,38,26,64,196,32.7%,63,62,44,29,73,198,36.9%,442,293,268,174,442,1177,37.6%,
4415,Warsaw Community Schools,216,121,114,95,209,546,38.3%,187,123,115,90,205,515,39.8%,205,113,149,81,230,548,42.0%,129,112,126,112,238,479,49.7%,140,111,135,111,246,497,49.5%,141,140,117,103,220,501,43.9%,1018,720,756,592,1348,3086,43.7%,
4445,Tippecanoe Valley School Corp,52,31,27,19,46,129,35.7%,31,37,31,24,55,123,44.7%,43,34,43,15,58,135,43.0%,76,33,26,9,35,144,24.3%,57,38,31,15,46,141,32.6%,50,43,31,19,50,143,35.0%,309,216,189,101,290,815,35.6%,
4455,Whitko Community School Corp,47,22,23,5,28,97,28.9%,36,28,16,8,24,88,27.3%,35,32,17,4,21,88,23.9%,32,32,22,4,26,90,28.9%,35,29,13,8,21,85,24.7%,26,25,18,7,25,76,32.9%,211,168,109,36,145,524,27.7%,
4515,Prairie Heights Community Sch Corp,50,22,30,24,54,126,42.9%,36,25,17,14,31,92,33.7%,31,26,27,16,43,100,43.0%,26,19,30,6,36,81,44.4%,22,25,28,18,46,93,49.5%,35,24,30,18,48,107,44.9%,200,141,162,96,258,599,43.1%,
4525,Westview School Corporation,45,33,62,26,88,166,53.0%,33,38,57,57,114,185,61.6%,36,45,55,36,91,172,52.9%,39,30,54,29,83,152,54.6%,39,47,54,31,85,171,49.7%,37,46,52,27,79,162,48.8%,229,239,334,206,540,1008,53.6%,
4535,Lakeland School Corporation,46,19,18,9,27,92,29.3%,51,26,22,16,38,115,33.0%,54,24,21,10,31,109,28.4%,58,28,20,8,28,114,24.6%,53,24,13,13,26,103,25.2%,49,29,19,11,30,108,27.8%,311,150,113,67,180,641,28.1%,
4570,NW Indiana Special Education Coop,***,***,***,***,***,2,***,***,***,***,***,***,5,***,***,***,***,***,***,1,***,***,***,***,***,***,1,***,***,***,***,***,***,6,***,***,***,***,***,***,2,***,16,1,0,0,0,17,0.0%,
4580,Hanover Community School Corp,53,50,76,34,110,213,51.6%,65,49,60,37,97,211,46.0%,46,57,77,28,105,208,50.5%,54,48,68,52,120,222,54.1%,51,60,63,37,100,211,47.4%,75,74,43,36,79,228,34.6%,344,338,387,224,611,1293,47.3%,
4590,River Forest Community Sch Corp,76,26,15,6,21,123,17.1%,52,25,23,6,29,106,27.4%,42,23,27,12,39,104,37.5%,57,28,17,9,26,111,23.4%,58,37,17,8,25,120,20.8%,68,25,18,12,30,123,24.4%,353,164,117,53,170,687,24.7%,
4600,Merrillville Community School Corp,214,88,60,35,95,397,23.9%,198,80,83,73,156,434,35.9%,179,82,66,24,90,351,25.6%,205,86,67,49,116,407,28.5%,184,123,88,30,118,425,27.8%,170,136,89,58,147,453,32.5%,1150,595,453,269,722,2467,29.3%,
4615,Lake Central School Corporation,119,141,181,154,335,595,56.3%,157,156,222,182,404,717,56.3%,175,164,233,107,340,679,50.1%,132,152,200,125,325,609,53.4%,139,203,219,156,375,717,52.3%,130,181,223,192,415,726,57.2%,852,997,1278,916,2194,4043,54.3%,
4645,Tri-Creek School Corporation,61,61,71,58,129,251,51.4%,39,75,66,67,133,247,53.8%,39,47,92,45,137,223,61.4%,53,62,69,49,118,233,50.6%,52,68,71,61,132,252,52.4%,59,73,57,44,101,233,43.3%,303,386,426,324,750,1439,52.1%,
4650,Lake Ridge New Tech Schools,65,4,8,2,10,79,12.7%,59,24,5,7,12,95,12.6%,64,17,12,1,13,94,13.8%,76,19,10,3,13,108,12.0%,80,15,9,2,11,106,10.4%,76,28,7,6,13,117,11.1%,420,107,51,21,72,599,12.0%,
4660,Crown Point Community School Corp,172,157,183,144,327,656,49.8%,147,165,182,128,310,622,49.8%,161,191,228,96,324,676,47.9%,178,193,210,116,326,697,46.8%,151,199,188,134,322,672,47.9%,156,185,197,192,389,730,53.3%,965,1090,1188,810,1998,4053,49.3%,
4670,School City of East Chicago,160,37,22,5,27,224,12.1%,150,36,17,7,24,210,11.4%,147,54,24,5,29,230,12.6%,134,48,27,7,34,216,15.7%,134,46,32,7,39,219,17.8%,121,52,37,8,45,218,20.6%,846,273,159,39,198,1317,15.0%,
4680,Lake Station Community Schools,46,17,14,5,19,82,23.2%,51,14,6,2,8,73,11.0%,45,21,21,6,27,93,29.0%,37,14,10,2,12,63,19.0%,35,19,15,2,17,71,23.9%,24,29,10,4,14,67,20.9%,238,114,76,21,97,449,21.6%,
4690,Gary Community School Corp,281,56,25,10,35,372,9.4%,332,47,22,4,26,405,6.4%,271,36,21,6,27,334,8.1%,180,43,31,2,33,256,12.9%,133,54,21,5,26,213,12.2%,145,58,22,8,30,233,12.9%,1342,294,142,35,177,1813,9.8%,
4700,Griffith Public Schools,67,44,29,15,44,155,28.4%,61,33,25,12,37,131,28.2%,32,43,48,17,65,140,46.4%,63,39,29,14,43,145,29.7%,43,41,35,11,46,130,35.4%,38,50,35,21,56,144,38.9%,304,250,201,90,291,845,34.4%,
4710,School City of Hammond,510,171,104,25,129,810,15.9%,492,176,111,40,151,819,18.4%,494,172,133,24,157,823,19.1%,415,191,96,36,132,738,17.9%,423,174,89,28,117,714,16.4%,427,178,86,28,114,719,15.9%,2761,1062,619,181,800,4623,17.3%,
4720,School Town of Highland,78,52,72,22,94,224,42.0%,80,63,58,37,95,238,39.9%,86,50,76,26,102,238,42.9%,46,65,75,61,136,247,55.1%,67,81,73,38,111,259,42.9%,56,63,67,39,106,225,47.1%,413,374,421,223,644,1431,45.0%,
4730,School City of Hobart,109,77,74,29,103,289,35.6%,99,82,82,56,138,319,43.3%,102,70,86,35,121,293,41.3%,103,76,73,55,128,307,41.7%,84,79,72,51,123,286,43.0%,81,90,76,58,134,305,43.9%,578,474,463,284,747,1799,41.5%,
4740,School Town of Munster,52,54,83,83,166,272,61.0%,35,50,81,106,187,272,68.8%,46,67,134,87,221,334,66.2%,62,60,87,106,193,315,61.3%,20,60,110,127,237,317,74.8%,34,71,88,119,207,312,66.3%,249,362,583,628,1211,1822,66.5%,
4760,School City of Whiting,18,21,14,14,28,67,41.8%,23,18,16,6,22,63,34.9%,18,24,23,9,32,74,43.2%,24,8,24,19,43,75,57.3%,27,28,19,3,22,77,28.6%,42,24,16,16,32,98,32.7%,152,123,112,67,179,454,39.4%,
4805,New Prairie United School Corp,44,45,68,49,117,206,56.8%,26,59,58,60,118,203,58.1%,48,48,78,36,114,210,54.3%,56,58,56,32,88,202,43.6%,39,50,78,59,137,226,60.6%,43,70,56,57,113,226,50.0%,256,330,394,293,687,1273,54.0%,
4860,MSD of New Durham Township,34,23,18,9,27,84,32.1%,26,17,22,11,33,76,43.4%,28,15,20,2,22,65,33.8%,20,28,18,11,29,77,37.7%,23,16,17,10,27,66,40.9%,12,17,27,10,37,66,56.1%,143,116,122,53,175,434,40.3%,
4915,Tri-Township Cons School Corp,11,11,3,2,5,27,18.5%,3,6,7,6,13,22,59.1%,8,6,6,0,6,20,30.0%,5,3,6,0,6,14,42.9%,6,8,3,2,5,19,26.3%,9,6,10,2,12,27,44.4%,42,40,35,12,47,129,36.4%,
4925,Michigan City Area Schools,197,78,70,22,92,367,25.1%,201,91,68,37,105,397,26.4%,219,65,77,28,105,389,27.0%,148,77,88,36,124,349,35.5%,143,86,59,40,99,328,30.2%,168,81,52,24,76,325,23.4%,1076,478,414,187,601,2155,27.9%,
4940,South Central Com School Corp,27,22,14,17,31,80,38.8%,14,13,18,18,36,63,57.1%,24,17,25,12,37,78,47.4%,20,17,16,14,30,67,44.8%,14,19,30,16,46,79,58.2%,14,20,25,9,34,68,50.0%,113,108,128,86,214,435,49.2%,
4945,La Porte Community School Corp,131,102,105,74,179,412,43.4%,138,104,108,84,192,434,44.2%,149,90,112,51,163,402,40.5%,144,111,122,67,189,444,42.6%,114,109,125,73,198,421,47.0%,130,123,101,87,188,441,42.6%,806,639,673,436,1109,2554,43.4%,
5075,North Lawrence Com Schools,114,62,48,20,68,244,27.9%,89,56,55,39,94,239,39.3%,77,57,61,22,83,217,38.2%,90,52,78,33,111,253,43.9%,81,88,55,21,76,245,31.0%,109,64,52,34,86,259,33.2%,560,379,349,169,518,1457,35.6%,
5085,Mitchell Community Schools,38,29,20,8,28,95,29.5%,39,24,21,16,37,100,37.0%,67,32,24,2,26,125,20.8%,72,29,11,3,14,115,12.2%,33,28,20,11,31,92,33.7%,52,30,26,6,32,114,28.1%,301,172,122,46,168,641,26.2%,
5245,Frankton-Lapel Community Schools,86,52,40,20,60,198,30.3%,64,55,60,33,93,212,43.9%,75,53,62,22,84,212,39.6%,74,63,64,21,85,222,38.3%,99,81,48,16,64,244,26.2%,87,56,58,27,85,228,37.3%,485,360,332,139,471,1316,35.8%,
5255,South Madison Com Sch Corp,107,91,87,43,130,328,39.6%,107,94,107,66,173,374,46.3%,94,67,102,48,150,311,48.2%,74,81,106,88,194,349,55.6%,66,108,104,71,175,349,50.1%,70,95,106,75,181,346,52.3%,518,536,612,391,1003,2057,48.8%,
5265,Alexandria Community School Corp,43,23,23,8,31,97,32.0%,43,22,17,18,35,100,35.0%,41,21,25,13,38,100,38.0%,20,25,23,18,41,86,47.7%,32,34,24,10,34,100,34.0%,40,26,27,16,43,109,39.4%,219,151,139,83,222,592,37.5%,
5275,Anderson Community School Corp,275,96,57,16,73,444,16.4%,264,88,53,31,84,436,19.3%,298,86,72,10,82,466,17.6%,283,80,46,25,71,434,16.4%,262,100,46,24,70,432,16.2%,254,83,62,34,96,433,22.2%,1636,533,336,140,476,2645,18.0%,
5280,Elwood Community School Corp,58,18,23,3,26,102,25.5%,68,24,13,7,20,112,17.9%,53,20,12,3,15,88,17.0%,53,37,18,6,24,114,21.1%,64,26,4,6,10,100,10.0%,77,25,17,6,23,125,18.4%,373,150,87,31,118,641,18.4%,
5300,MSD Decatur Township,291,114,83,20,103,508,20.3%,281,108,75,39,114,503,22.7%,265,97,90,17,107,469,22.8%,235,118,112,47,159,512,31.1%,228,137,76,40,116,481,24.1%,249,132,63,31,94,475,19.8%,1549,706,499,194,693,2948,23.5%,
5310,Franklin Township Com Sch Corp,302,192,257,159,416,910,45.7%,285,186,203,179,382,853,44.8%,318,181,263,103,366,865,42.3%,306,187,275,140,415,908,45.7%,252,201,217,141,358,811,44.1%,243,203,204,159,363,809,44.9%,1706,1150,1419,881,2300,5156,44.6%,
5330,MSD Lawrence Township,716,232,174,85,259,1207,21.5%,668,216,205,122,327,1211,27.0%,603,213,202,103,305,1121,27.2%,579,279,235,133,368,1226,30.0%,536,295,199,123,322,1153,27.9%,580,284,221,133,354,1218,29.1%,3682,1519,1236,699,1935,7136,27.1%,
5340,Perry Township Schools,566,255,239,127,366,1187,30.8%,585,227,250,217,467,1279,36.5%,506,241,329,161,490,1237,39.6%,492,268,304,230,534,1294,41.3%,446,288,286,214,500,1234,40.5%,420,249,293,248,541,1210,44.7%,3015,1528,1701,1197,2898,7441,38.9%,
5350,MSD Pike Township,390,151,131,74,205,746,27.5%,452,173,135,69,204,829,24.6%,385,136,119,43,162,683,23.7%,437,161,128,61,189,787,24.0%,413,193,112,47,159,765,20.8%,432,176,127,64,191,799,23.9%,2509,990,752,358,1110,4609,24.1%,
5360,MSD Warren Township,461,175,120,54,174,810,21.5%,453,195,145,58,203,851,23.9%,481,150,108,30,138,769,17.9%,500,188,86,34,120,808,14.9%,447,214,108,43,151,812,18.6%,498,187,116,49,165,850,19.4%,2840,1109,683,268,951,4900,19.4%,
5370,MSD Washington Township,305,169,161,122,283,757,37.4%,342,151,152,136,288,781,36.9%,327,131,182,98,280,738,37.9%,391,159,122,141,263,813,32.3%,344,190,151,108,259,793,32.7%,357,162,151,128,279,798,35.0%,2066,962,919,733,1652,4680,35.3%,
5375,MSD Wayne Township,729,195,157,52,209,1133,18.4%,706,242,192,84,276,1224,22.5%,662,214,181,55,236,1112,21.2%,669,220,170,72,242,1131,21.4%,616,286,170,60,230,1132,20.3%,626,260,188,82,270,1156,23.4%,4008,1417,1058,405,1463,6888,21.2%,
5380,Beech Grove City Schools,107,43,27,11,38,188,20.2%,99,35,38,10,48,182,26.4%,106,35,25,9,34,175,19.4%,119,49,34,9,43,211,20.4%,100,47,43,21,64,211,30.3%,56,61,54,52,106,223,47.5%,587,270,221,112,333,1190,28.0%,
5385,Indianapolis Public Schools,1201,290,246,106,352,1843,19.1%,1173,309,219,167,386,1868,20.7%,1091,282,229,86,315,1688,18.7%,1033,274,246,103,349,1656,21.1%,759,296,202,98,300,1355,22.1%,865,309,215,143,358,1532,23.4%,6122,1760,1357,703,2060,9942,20.7%,
5390,Southside Sp Srvs Of Marion Co,***,***,***,***,***,7,***,***,***,***,***,***,4,***,8,1,1,0,1,10,10.0%,14,1,0,0,0,15,0.0%,20,0,0,0,0,20,0.0%,14,2,0,0,0,16,0.0%,66,5,1,0,1,72,1.4%,
5400,School Town of Speedway,25,19,35,34,69,113,61.1%,29,22,33,40,73,124,58.9%,28,14,47,19,66,108,61.1%,34,27,25,32,57,118,48.3%,32,37,32,40,72,141,51.1%,35,38,42,33,75,148,50.7%,183,157,214,198,412,752,54.8%,
5455,Culver Community Schools Corp,18,13,12,15,27,58,46.6%,7,15,17,10,27,49,55.1%,23,10,17,9,26,59,44.1%,28,18,12,3,15,61,24.6%,21,11,7,2,9,41,22.0%,21,13,16,11,27,61,44.3%,118,80,81,50,131,329,39.8%,
5470,Argos Community Schools,32,11,11,1,12,55,21.8%,15,9,13,8,21,45,46.7%,19,17,11,3,14,50,28.0%,15,16,14,12,26,57,45.6%,10,19,10,5,15,44,34.1%,9,8,8,10,18,35,51.4%,100,80,67,39,106,286,37.1%,
5480,Bremen Public Schools,35,30,24,9,33,98,33.7%,35,24,25,22,47,106,44.3%,31,30,25,20,45,106,42.5%,45,34,25,28,53,132,40.2%,35,26,23,18,41,102,40.2%,42,38,26,22,48,128,37.5%,223,182,148,119,267,672,39.7%,
5485,Plymouth Community School Corp,93,51,62,24,86,230,37.4%,83,50,53,47,100,233,42.9%,101,52,45,13,58,211,27.5%,73,49,68,40,108,230,47.0%,71,74,69,30,99,244,40.6%,95,62,56,41,97,254,38.2%,516,338,353,195,548,1402,39.1%,
5495,Triton School Corporation,33,25,15,3,18,76,23.7%,21,23,15,9,24,68,35.3%,27,24,17,5,22,73,30.1%,12,17,20,17,37,66,56.1%,16,25,28,10,38,79,48.1%,16,24,23,16,39,79,49.4%,125,138,118,60,178,441,40.4%,
5520,Shoals Community School Corp,23,4,5,2,7,34,20.6%,18,8,17,8,25,51,49.0%,29,16,8,5,13,58,22.4%,18,9,9,1,10,37,27.0%,11,10,13,1,14,35,40.0%,9,17,18,8,26,52,50.0%,108,64,70,25,95,267,35.6%,
5525,Loogootee Community Sch Corp,19,13,20,11,31,63,49.2%,13,11,14,7,21,45,46.7%,19,20,22,9,31,70,44.3%,10,18,18,11,29,57,50.9%,10,15,14,7,21,46,45.7%,14,13,13,13,26,53,49.1%,85,90,101,58,159,334,47.6%,
5615,Maconaquah School Corp,87,26,28,3,31,144,21.5%,81,32,19,9,28,141,19.9%,53,39,34,12,46,138,33.3%,56,34,23,15,38,128,29.7%,36,44,28,13,41,121,33.9%,41,26,33,21,54,121,44.6%,354,201,165,73,238,793,30.0%,
5620,North Miami Community Schools,9,11,20,8,28,48,58.3%,16,21,17,9,26,63,41.3%,20,12,17,5,22,54,40.7%,16,21,13,0,13,50,26.0%,19,27,9,5,14,60,23.3%,22,25,11,8,19,66,28.8%,102,117,87,35,122,341,35.8%,
5625,Oak Hill United School Corp,42,37,22,10,32,111,28.8%,38,38,34,27,61,137,44.5%,40,33,30,8,38,111,34.2%,32,35,41,15,56,123,45.5%,19,32,32,22,54,105,51.4%,22,34,35,28,63,119,52.9%,193,209,194,110,304,706,43.1%,
5635,Peru Community Schools,53,22,32,18,50,125,40.0%,64,31,34,27,61,156,39.1%,48,32,39,17,56,136,41.2%,56,32,24,26,50,138,36.2%,51,24,33,16,49,124,39.5%,45,34,27,13,40,119,33.6%,317,175,189,117,306,798,38.3%,
5705,Richland-Bean Blossom C S C,58,56,73,27,100,214,46.7%,55,41,47,43,90,186,48.4%,53,52,59,27,86,191,45.0%,59,41,57,48,105,205,51.2%,62,62,61,29,90,214,42.1%,57,48,54,51,105,210,50.0%,344,300,351,225,576,1220,47.2%,
5740,Monroe County Community Sch Corp,226,143,190,166,356,725,49.1%,235,152,173,175,348,735,47.3%,280,157,204,118,322,759,42.4%,242,146,201,178,379,767,49.4%,208,171,193,177,370,749,49.4%,190,170,188,206,394,754,52.3%,1381,939,1149,1020,2169,4489,48.3%,
5835,North Montgomery Com Sch Corp,47,31,35,26,61,139,43.9%,36,37,41,30,71,144,49.3%,35,25,45,18,63,123,51.2%,58,29,33,22,55,142,38.7%,46,49,26,10,36,131,27.5%,66,32,27,21,48,146,32.9%,288,203,207,127,334,825,40.5%,
5845,South Montgomery Com Sch Corp,36,35,40,17,57,128,44.5%,27,23,35,24,59,109,54.1%,33,36,36,24,60,129,46.5%,19,21,42,39,81,121,66.9%,22,26,42,43,85,133,63.9%,15,19,36,57,93,127,73.2%,152,160,231,204,435,747,58.2%,
5855,Crawfordsville Community Schools,58,51,44,20,64,173,37.0%,82,34,43,23,66,182,36.3%,82,44,32,19,51,177,28.8%,96,48,31,27,58,202,28.7%,70,55,46,25,71,196,36.2%,61,43,42,24,66,170,38.8%,449,275,238,138,376,1100,34.2%,
